Filename	200MP mastercurve2 (SeqTest 3)
Instrument name	
Operator	Administrator
rundate	8/8/2018
[step]
Temperature Sweep - 1
Angular frequency	Storage modulus	Loss modulus	Tan(delta)	Complex modulus	Complex viscosity	Oscillation torque	Dynamic viscosity	Out of phase component of η*	Storage compliance	Loss compliance	Time	Temperature	Oscillation strain	Oscillation stress	Phase angle	Oscillation strain (cmd)	Displacement	Computed Alpha	Delta length	Axial force	Step time
rad/s	Pa	Pa		Pa	Pa.s	g.cm	Pa.s	Pa.s	1/Pa	1/Pa	s	°C	%	Pa	°	%	rad	mm/s	mm	N	s
15.8489	229947	210233	0.914265	311566	19658.5	3.34593	13264.8	14508.7	2.36879e-6	2.16571e-6	1065.00	24.893	1.04758	3263.91	42.4356	1.00000	1.92231e-3	0.00000	-0.08100	0.443364	999.000
10.0000	190536	162890	0.854904	250673	25067.3	2.69034	16289.0	19053.6	3.03223e-6	2.59226e-6	1072.00	24.919	1.04694	2624.39	40.5273	1.00000	1.92113e-3	0.00000	-0.08100	0.443364	1006.00
6.30957	159659	126683	0.793460	203812	32302.0	2.18674	20077.9	25304.2	3.84355e-6	3.04970e-6	1081.00	24.947	1.04662	2133.14	38.4306	1.00000	1.92055e-3	0.00000	-0.08100	0.443364	1015.00
3.98107	135552	99038.1	0.730630	167877	42168.9	1.80080	24877.3	34049.0	4.80973e-6	3.51413e-6	1088.00	24.961	1.04639	1756.66	36.1530	1.00000	1.92013e-3	0.00000	-0.08100	0.443364	1022.00
2.51189	116068	77778.5	0.670112	139719	55623.0	1.49830	30964.2	46207.5	5.94572e-6	3.98430e-6	1098.00	24.979	1.04608	1461.57	33.8265	1.00000	1.91956e-3	0.00000	-0.08100	0.443364	1032.00
1.58489	101113	61218.0	0.605440	118201	74580.0	1.26689	38626.0	63798.2	7.23709e-6	4.38162e-6	1113.00	24.994	1.04553	1235.83	31.1924	1.00000	1.91855e-3	0.00000	-0.08100	0.443364	1047.00
1.00000	88884.7	48506.4	0.545722	101259	101259	1.08585	48506.4	88884.7	8.66884e-6	4.73078e-6	1136.00	25.001	1.04606	1059.23	28.6223	1.00000	1.91952e-3	0.00000	-0.08100	0.443364	1070.00
0.630957	79853.6	38441.4	0.481398	88624.7	140461	0.950469	60925.5	126559	1.01668e-5	4.89429e-6	1169.00	25.005	1.04617	927.168	25.7061	1.00000	1.91973e-3	0.00000	-0.08100	0.443364	1103.00
100.000	781972	912054	1.16635	1201380	12013.8	12.8076	9120.54	7819.72	5.41786e-7	6.31913e-7	1311.00	19.716	1.03994	12493.7	49.3910	1.00000	1.86409e-3	0.00000	-0.09800	0.500280	1245.00
63.0957	612137	695530	1.13623	926539	14684.7	9.95202	11023.4	9701.72	7.13052e-7	8.10193e-7	1318.00	19.779	1.04778	9708.05	48.6489	1.00000	1.87814e-3	0.00000	-0.09800	0.500280	1252.00
