Filename	200MP mastercurve2 (SeqTest 2)
Instrument name	
Operator	Administrator
rundate	8/8/2018
File Parameters	
[Name]
[Instrument type]
[step]
Temperature Sweep - 1
Angular frequency	Storage modulus	Loss modulus	Tan(delta)	Complex modulus	Complex viscosity	Oscillation torque	Dynamic viscosity	Out of phase component of η*	Storage compliance	Loss compliance	Time	Temperature	Oscillation strain	Oscillation stress	Phase angle	Oscillation strain (cmd)	Displacement	Computed Alpha	Delta length	Axial force	Step time
rad/s	Pa	Pa		Pa	Pa.s	g.cm	Pa.s	Pa.s	1/Pa	1/Pa	s	°C	%	Pa	°	%	rad	mm/s	mm	N	s
63.0957	92850.7	33889.1	0.364985	98841.9	1566.54	1.65557	537.107	1471.58	9.50392e-6	3.46879e-6	674.000	84.377	1.63391	1614.99	20.0513	2.00000	4.91807e-3	0.00000	0.1310	0.408110	620.000
39.8107	85057.2	29414.6	0.345822	89999.7	2260.69	1.50878	738.862	2136.54	1.05010e-5	3.63146e-6	679.000	84.450	1.63534	1471.80	19.0765	2.00000	4.92236e-3	0.00000	0.1310	0.408110	625.000
25.1189	78107.7	25960.0	0.332361	82308.8	3276.77	1.37888	1033.49	3109.52	1.15293e-5	3.83188e-6	685.000	84.540	1.63418	1345.07	18.3848	2.00000	4.91888e-3	0.00000	0.1310	0.408110	631.000
15.8489	71850.8	23360.8	0.325129	75553.1	4767.08	1.26379	1473.97	4533.48	1.25871e-5	4.09245e-6	692.000	84.624	1.63171	1232.81	18.0109	2.00000	4.91146e-3	0.00000	0.1310	0.408110	638.000
10.0000	65785.8	21347.3	0.324497	69162.7	6916.27	1.15638	2134.73	6578.58	1.37527e-5	4.46271e-6	699.000	84.682	1.63098	1128.03	17.9781	2.00000	4.90925e-3	0.00000	0.1310	0.408110	645.000
6.30957	60035.0	19757.4	0.329098	63202.5	10016.9	1.05629	3131.34	9514.91	1.50292e-5	4.94608e-6	707.000	84.744	1.63030	1030.39	18.2163	2.00000	4.90721e-3	0.00000	0.1310	0.408110	653.000
3.98107	54684.3	18319.7	0.335009	57671.4	14486.4	0.963488	4601.71	13736.1	1.64415e-5	5.50806e-6	715.000	84.803	1.62970	939.869	18.5213	2.00000	4.90539e-3	0.00000	0.1310	0.408110	661.000
2.51189	49488.5	17042.7	0.344378	52340.8	20837.3	0.874266	6784.83	19701.7	1.80644e-5	6.22097e-6	723.000	84.854	1.62939	852.834	19.0026	2.00000	4.90445e-3	0.00000	0.1310	0.408110	669.000
1.58489	44690.0	15434.0	0.345356	47280.1	29831.7	0.789433	9738.17	28197.5	1.99919e-5	6.90433e-6	738.000	84.918	1.62876	770.081	19.0527	2.00000	4.90258e-3	0.00000	0.1310	0.408110	684.000
1.00000	40412.2	14754.0	0.365089	43021.2	43021.2	0.718567	14754.0	40412.2	2.18347e-5	7.97159e-6	757.000	84.966	1.62932	700.952	20.0566	2.00000	4.90424e-3	0.00000	0.1310	0.408110	703.000
0.630957	36496.9	12910.6	0.353746	38713.1	61356.2	0.646569	20462.0	57843.6	2.43523e-5	8.61452e-6	789.000	84.995	1.62921	630.718	19.4810	2.00000	4.90393e-3	0.00000	0.1310	0.408110	735.000
100.000	108696	46083.9	0.423970	118062	1180.62	1.96183	460.839	1086.96	7.79823e-6	3.30622e-6	872.000	79.265	1.62096	1913.74	22.9755	2.00000	4.81021e-3	0.00000	0.1140	0.412161	818.000
63.0957	98981.6	38240.9	0.386343	106112	1681.76	1.77396	606.077	1568.75	8.79077e-6	3.39625e-6	879.000	79.361	1.63080	1730.48	21.1237	2.00000	4.83941e-3	0.00000	0.1140	0.412161	825.000
39.8107	90506.4	32540.4	0.359538	96178.4	2415.89	1.60654	817.379	2273.42	9.78417e-6	3.51778e-6	884.000	79.429	1.62943	1567.16	19.7754	2.00000	4.83532e-3	0.00000	0.1140	0.412161	830.000
25.1189	82892.4	28303.7	0.341451	87591.4	3487.08	1.46174	1126.79	3300.01	1.08042e-5	3.68910e-6	890.000	79.502	1.62790	1425.90	18.8525	2.00000	4.83080e-3	0.00000	0.1140	0.412161	836.000
15.8489	76292.4	25107.8	0.329100	80317.7	5067.71	1.33894	1584.20	4813.73	1.18266e-5	3.89212e-6	897.000	79.580	1.62618	1306.11	18.2164	2.00000	4.82570e-3	0.00000	0.1140	0.412161	843.000
10.0000	69999.3	22727.3	0.324679	73596.4	7359.64	1.22611	2272.73	6999.93	1.29235e-5	4.19599e-6	904.000	79.656	1.62514	1196.05	17.9875	2.00000	4.82262e-3	0.00000	0.1140	0.412161	850.000
6.30957	64057.4	20860.8	0.325658	67368.6	10677.2	1.12191	3306.22	10152.4	1.41141e-5	4.59639e-6	912.000	79.727	1.62450	1094.41	18.0383	2.00000	4.82072e-3	0.00000	0.1140	0.412161	858.000
3.98107	58471.5	19178.4	0.327995	61536.3	15457.2	1.02460	4817.39	14687.4	1.54412e-5	5.06464e-6	920.000	79.789	1.62422	999.483	18.1593	2.00000	4.81986e-3	0.00000	0.1140	0.412161	866.000
2.51189	53217.2	17748.2	0.333504	56098.7	22333.3	0.933953	7065.67	21186.2	1.69101e-5	5.63959e-6	930.000	79.846	1.62402	911.057	18.4438	2.00000	4.81929e-3	0.00000	0.1140	0.412161	876.000
